,A211124,I211124,I211125,I211130,I211201,I211202,I211203,I211207,I211208,I211209,I211210,I211213,I211215,I211216,I211220,I211222,I211223
A211124,,0.88,0.8,0.753,0.765,0.787,0.683,0.688,0.659,0.633,0.673,0.696,0.64,0.604,0.612,0.63,0.62
I211124,0.879,,0.826,0.797,0.787,0.798,0.745,0.724,0.704,0.69,0.712,0.71,0.671,0.676,0.668,0.675,0.679
I211125,0.833,0.871,,0.788,0.794,0.793,0.71,0.723,0.675,0.675,0.736,0.719,0.622,0.653,0.666,0.663,0.675
I211130,0.718,0.771,0.777,,0.87,0.823,0.656,0.704,0.741,0.621,0.681,0.647,0.714,0.709,0.699,0.653,0.675
I211201,0.794,0.815,0.855,0.853,,0.892,0.692,0.71,0.691,0.684,0.748,0.714,0.687,0.745,0.719,0.709,0.705
I211202,0.785,0.845,0.77,0.837,0.864,,0.72,0.74,0.725,0.718,0.729,0.718,0.635,0.725,0.687,0.677,0.657
I211203,0.67,0.699,0.658,0.664,0.682,0.677,,0.791,0.731,0.725,0.77,0.746,0.711,0.678,0.664,0.663,0.63
I211207,0.661,0.726,0.637,0.709,0.672,0.675,0.774,,0.837,0.831,0.856,0.855,0.625,0.7,0.63,0.621,0.626
I211208,0.621,0.668,0.629,0.675,0.701,0.689,0.782,0.83,,0.802,0.833,0.8,0.665,0.712,0.661,0.644,0.631
I211209,0.679,0.705,0.619,0.631,0.665,0.677,0.762,0.854,0.749,,0.831,0.826,0.583,0.655,0.602,0.561,0.571
I211210,0.698,0.728,0.729,0.636,0.695,0.672,0.803,0.858,0.796,0.789,,0.836,0.634,0.67,0.695,0.638,0.639
I211213,0.719,0.705,0.7,0.691,0.713,0.695,0.761,0.847,0.814,0.813,0.908,,0.627,0.641,0.682,0.676,0.686
I211215,0.617,0.65,0.626,0.66,0.663,0.648,0.712,0.686,0.667,0.604,0.646,0.617,,0.864,0.831,0.799,0.799
I211216,0.547,0.628,0.605,0.686,0.733,0.678,0.716,0.704,0.714,0.603,0.671,0.638,0.833,,0.815,0.76,0.756
I211220,0.567,0.612,0.628,0.672,0.655,0.623,0.666,0.642,0.603,0.606,0.658,0.624,0.864,0.855,,0.849,0.854
I211222,0.606,0.619,0.638,0.637,0.667,0.634,0.68,0.645,0.627,0.616,0.686,0.672,0.797,0.782,0.865,,0.878
I211223,0.568,0.598,0.623,0.643,0.612,0.597,0.698,0.68,0.594,0.593,0.657,0.643,0.81,0.797,0.878,0.893,
