,A211102,A211105,A211108,A211109,A211110,A211112,A211115,A211116,A211117,A211118,A211122,A211123,A211125,A211206,A211208,A211223,A211225,A211228,I211102,I211103,I211104,I211108,I211110,I211112,I211115,I211118,I211119,I211122
A211102,0.0,0.851,0.87,0.866,0.612,0.582,0.659,0.669,0.619,0.704,0.723,0.724,0.681,0.711,0.741,0.639,0.63,0.663,0.849,0.811,0.835,0.844,0.643,0.605,0.66,0.703,0.7,0.71
A211105,0.829,0.0,0.844,0.864,0.619,0.61,0.651,0.659,0.636,0.67,0.67,0.678,0.658,0.674,0.681,0.723,0.697,0.638,0.79,0.846,0.884,0.847,0.65,0.637,0.664,0.656,0.676,0.66
A211108,0.858,0.876,0.0,0.907,0.618,0.589,0.647,0.642,0.604,0.681,0.699,0.692,0.648,0.718,0.695,0.682,0.675,0.657,0.806,0.844,0.869,0.906,0.626,0.593,0.617,0.679,0.671,0.688
A211109,0.855,0.892,0.905,0.0,0.651,0.602,0.685,0.65,0.641,0.704,0.735,0.733,0.71,0.731,0.736,0.675,0.672,0.663,0.803,0.849,0.867,0.882,0.675,0.639,0.67,0.691,0.736,0.713
A211110,0.643,0.688,0.652,0.68,0.0,0.866,0.793,0.789,0.742,0.802,0.775,0.784,0.75,0.699,0.636,0.702,0.693,0.674,0.615,0.66,0.687,0.675,0.92,0.808,0.82,0.801,0.793,0.784
A211112,0.623,0.685,0.625,0.658,0.818,0.0,0.766,0.778,0.815,0.816,0.739,0.754,0.761,0.633,0.647,0.72,0.691,0.675,0.661,0.691,0.685,0.702,0.89,0.882,0.833,0.819,0.816,0.779
A211115,0.653,0.682,0.676,0.722,0.84,0.842,0.0,0.886,0.821,0.767,0.811,0.806,0.764,0.663,0.668,0.673,0.706,0.581,0.608,0.687,0.696,0.654,0.878,0.821,0.916,0.776,0.813,0.764
A211116,0.608,0.609,0.618,0.634,0.735,0.736,0.879,0.0,0.8,0.769,0.782,0.779,0.785,0.608,0.593,0.638,0.627,0.608,0.58,0.642,0.613,0.602,0.799,0.799,0.894,0.753,0.767,0.755
A211117,0.667,0.703,0.657,0.686,0.743,0.777,0.796,0.827,0.0,0.839,0.817,0.821,0.818,0.646,0.673,0.706,0.68,0.632,0.68,0.688,0.68,0.712,0.787,0.785,0.823,0.847,0.851,0.857
A211118,0.696,0.71,0.707,0.728,0.682,0.712,0.759,0.799,0.745,0.0,0.863,0.855,0.791,0.689,0.684,0.677,0.627,0.638,0.637,0.662,0.681,0.716,0.751,0.775,0.783,0.891,0.861,0.857
A211122,0.683,0.677,0.714,0.725,0.693,0.693,0.807,0.815,0.766,0.862,0.0,0.884,0.835,0.706,0.713,0.676,0.671,0.632,0.612,0.65,0.648,0.681,0.761,0.749,0.801,0.859,0.864,0.926
A211123,0.674,0.68,0.712,0.724,0.77,0.76,0.81,0.819,0.774,0.852,0.905,0.0,0.836,0.71,0.723,0.655,0.658,0.644,0.626,0.633,0.667,0.689,0.804,0.79,0.818,0.851,0.858,0.901
A211125,0.683,0.708,0.711,0.721,0.693,0.716,0.783,0.807,0.788,0.851,0.854,0.861,0.0,0.724,0.727,0.65,0.627,0.636,0.629,0.627,0.683,0.68,0.728,0.719,0.772,0.847,0.829,0.821
A211206,0.68,0.706,0.725,0.732,0.704,0.666,0.711,0.694,0.622,0.662,0.684,0.695,0.649,0.0,0.826,0.7,0.696,0.64,0.596,0.663,0.688,0.68,0.711,0.729,0.69,0.639,0.657,0.657
A211208,0.647,0.654,0.684,0.685,0.583,0.529,0.629,0.635,0.572,0.638,0.64,0.656,0.605,0.779,0.0,0.66,0.647,0.635,0.578,0.622,0.646,0.631,0.592,0.576,0.602,0.602,0.617,0.604
A211223,0.557,0.584,0.596,0.598,0.541,0.542,0.568,0.573,0.565,0.58,0.566,0.584,0.577,0.603,0.578,0.0,0.817,0.687,0.574,0.639,0.598,0.648,0.575,0.583,0.568,0.586,0.593,0.599
A211225,0.661,0.679,0.712,0.721,0.698,0.647,0.688,0.673,0.653,0.663,0.678,0.693,0.662,0.743,0.663,0.911,0.0,0.798,0.61,0.669,0.661,0.705,0.668,0.616,0.653,0.676,0.674,0.68
A211228,0.655,0.64,0.682,0.681,0.598,0.531,0.609,0.633,0.582,0.636,0.663,0.68,0.65,0.746,0.699,0.7,0.728,0.0,0.564,0.569,0.634,0.629,0.6,0.553,0.578,0.622,0.634,0.628
I211102,0.816,0.8,0.767,0.783,0.61,0.583,0.605,0.631,0.6,0.673,0.635,0.65,0.606,0.62,0.604,0.683,0.64,0.6,0.0,0.853,0.852,0.847,0.659,0.648,0.665,0.706,0.711,0.693
I211103,0.755,0.777,0.701,0.729,0.624,0.6,0.61,0.641,0.608,0.632,0.593,0.591,0.576,0.569,0.587,0.699,0.623,0.577,0.824,0.0,0.85,0.82,0.686,0.641,0.687,0.647,0.645,0.665
I211104,0.816,0.849,0.78,0.802,0.654,0.623,0.614,0.636,0.574,0.673,0.638,0.66,0.62,0.646,0.647,0.724,0.628,0.61,0.819,0.901,0.0,0.877,0.705,0.708,0.674,0.681,0.686,0.688
I211108,0.794,0.79,0.776,0.795,0.556,0.531,0.546,0.583,0.51,0.686,0.64,0.645,0.605,0.599,0.582,0.666,0.574,0.606,0.798,0.849,0.85,0.0,0.627,0.634,0.631,0.702,0.703,0.686
I211110,0.607,0.62,0.583,0.618,0.849,0.81,0.74,0.759,0.716,0.739,0.711,0.732,0.694,0.574,0.603,0.677,0.658,0.617,0.634,0.69,0.651,0.67,0.0,0.823,0.808,0.748,0.782,0.753
I211112,0.619,0.632,0.582,0.627,0.81,0.84,0.795,0.821,0.742,0.812,0.768,0.758,0.709,0.591,0.581,0.627,0.601,0.542,0.65,0.721,0.7,0.694,0.877,0.0,0.877,0.808,0.811,0.781
I211115,0.616,0.601,0.577,0.62,0.758,0.781,0.828,0.829,0.748,0.778,0.74,0.746,0.714,0.592,0.561,0.621,0.601,0.548,0.631,0.68,0.654,0.637,0.845,0.841,0.0,0.765,0.781,0.768
I211118,0.623,0.644,0.607,0.627,0.691,0.69,0.72,0.753,0.706,0.915,0.815,0.814,0.77,0.641,0.621,0.645,0.601,0.595,0.62,0.616,0.672,0.713,0.764,0.785,0.797,0.0,0.89,0.863
I211119,0.66,0.699,0.676,0.682,0.674,0.707,0.745,0.8,0.788,0.866,0.853,0.855,0.81,0.715,0.684,0.66,0.646,0.643,0.669,0.637,0.67,0.702,0.764,0.761,0.797,0.885,0.0,0.869
I211122,0.658,0.65,0.635,0.63,0.715,0.687,0.708,0.749,0.713,0.834,0.844,0.84,0.779,0.62,0.621,0.643,0.566,0.549,0.662,0.637,0.695,0.712,0.761,0.753,0.775,0.843,0.861,0.0
