,A211108,A211109,A211115,A211116,A211117,A211118,A211122,A211123,A211125,A211206,A211208,A211223,A211225,A211228,I211108,I211112,I211115,I211118,I211119,I211122
A211108,0.0,0.848,0.516,0.505,0.471,0.538,0.539,0.549,0.512,0.564,0.541,0.548,0.548,0.52,0.85,0.466,0.488,0.54,0.534,0.534
A211109,0.848,0.0,0.525,0.523,0.495,0.55,0.582,0.566,0.542,0.567,0.56,0.542,0.544,0.521,0.83,0.486,0.512,0.548,0.562,0.565
A211115,0.533,0.566,0.0,0.853,0.805,0.761,0.793,0.786,0.757,0.52,0.524,0.54,0.566,0.451,0.513,0.804,0.879,0.767,0.796,0.753
A211116,0.487,0.497,0.849,0.0,0.797,0.764,0.774,0.768,0.775,0.48,0.468,0.502,0.501,0.466,0.473,0.788,0.862,0.751,0.762,0.753
A211117,0.479,0.478,0.812,0.83,0.0,0.764,0.76,0.762,0.739,0.461,0.498,0.544,0.544,0.458,0.488,0.771,0.803,0.768,0.761,0.77
A211118,0.557,0.571,0.751,0.788,0.744,0.0,0.828,0.83,0.78,0.542,0.539,0.545,0.51,0.48,0.561,0.767,0.775,0.86,0.837,0.841
A211122,0.57,0.575,0.788,0.798,0.774,0.834,0.0,0.854,0.816,0.557,0.546,0.522,0.524,0.507,0.539,0.73,0.787,0.831,0.837,0.888
A211123,0.541,0.556,0.762,0.791,0.766,0.825,0.858,0.0,0.812,0.547,0.554,0.515,0.503,0.495,0.54,0.78,0.8,0.824,0.828,0.869
A211125,0.575,0.586,0.778,0.792,0.779,0.828,0.848,0.849,0.0,0.562,0.573,0.502,0.514,0.514,0.547,0.734,0.779,0.821,0.819,0.819
A211206,0.561,0.567,0.568,0.565,0.511,0.537,0.559,0.567,0.53,0.0,0.698,0.533,0.525,0.49,0.522,0.587,0.559,0.524,0.533,0.529
A211208,0.549,0.555,0.523,0.516,0.48,0.536,0.537,0.541,0.505,0.638,0.0,0.493,0.486,0.513,0.508,0.484,0.498,0.51,0.51,0.511
A211223,0.485,0.484,0.425,0.43,0.423,0.442,0.43,0.446,0.435,0.457,0.448,0.0,0.803,0.619,0.525,0.439,0.426,0.446,0.452,0.458
A211225,0.561,0.557,0.478,0.464,0.453,0.46,0.469,0.48,0.465,0.502,0.464,0.877,0.0,0.668,0.56,0.433,0.451,0.469,0.464,0.472
A211228,0.576,0.578,0.491,0.508,0.475,0.511,0.531,0.544,0.521,0.604,0.574,0.666,0.69,0.0,0.538,0.447,0.465,0.501,0.51,0.505
I211108,0.749,0.764,0.423,0.453,0.398,0.535,0.497,0.499,0.476,0.477,0.455,0.498,0.446,0.456,0.0,0.494,0.491,0.547,0.55,0.533
I211112,0.439,0.471,0.777,0.803,0.735,0.794,0.758,0.755,0.714,0.461,0.438,0.489,0.466,0.426,0.519,0.0,0.849,0.795,0.8,0.777
I211115,0.438,0.471,0.786,0.785,0.725,0.761,0.732,0.733,0.724,0.456,0.437,0.472,0.453,0.423,0.509,0.821,0.0,0.769,0.777,0.771
I211118,0.474,0.487,0.703,0.737,0.705,0.884,0.781,0.784,0.751,0.504,0.496,0.501,0.481,0.449,0.547,0.762,0.777,0.0,0.851,0.826
I211119,0.536,0.554,0.75,0.777,0.784,0.841,0.817,0.838,0.797,0.542,0.535,0.513,0.506,0.483,0.564,0.76,0.789,0.856,0.0,0.841
I211122,0.498,0.505,0.731,0.76,0.737,0.835,0.814,0.82,0.792,0.506,0.501,0.524,0.472,0.463,0.567,0.769,0.79,0.841,0.85,0.0
