-1,,precision,recall,f1-score,support
0,AMCREST WiFi Camera,0.995865757,0.967045835,0.981244195,5978
0,Amazon Alexa Echo Dot,0.909853292,0.97180315,0.939799273,22921
0,Amazon Alexa Echo Spot,0.419422718,0.851896495,0.56210074,15265
0,Amazon Alexa Echo Studio,0.794258002,0.866985877,0.829029895,14515
0,Amazon Plug,0.996844644,0.998563218,0.99770316,1392
0,Arlo Base Station,0.998369246,0.970311406,0.984140378,84231
0,Arlo Q Camera,0.986258635,0.993489318,0.989860766,43252
0,Atomi Coffee Maker,0.922924758,0.777020515,0.843711233,7263
0,Borun/Sichuan-AI Camera,0.985753526,0.974447566,0.980048499,26338
0,D-Link Mini Camera,0.98849426,0.9791019,0.983774765,1158
0,D-Link Water Sensor,1,0.912,0.953947368,50
0,Eufy HomeBase 2,0.723995218,0.927745665,0.813302758,8304
0,Globe Lamp ESP_B1680C,0.707103447,0.609090909,0.654447844,6985
0,Google Nest Mini,0.953747717,0.991192735,0.972109436,19711
0,Gosund Plug,0.775449484,0.912761002,0.838521088,24042
0,Gosund Socket,0.96131001,0.789997276,0.867274741,18355
0,HeimVision Smart WiFi Camera,0.99907052,0.968713614,0.983657684,12539
0,HeimVision SmartLife Radio/Lamp,0.861456155,0.608912441,0.713496422,8303
0,Home Eye Camera,0.972942643,0.891669523,0.930534852,26253
0,Luohe Cam Dog,0.722022511,0.804856512,0.761192135,3171
0,Nest Indoor Camera,0.999229118,0.999145851,0.999187483,48001
0,Netatmo Camera,0.935915489,0.991279391,0.962794256,9059
0,Netatmo Weather Station,0.886698073,0.92667364,0.906245208,1912
0,Philips Hue Bridge,0.996339286,0.949535734,0.972374566,14216
0,Ring Base Station,0.659170964,0.150884244,0.245554101,3732
0,SIMCAM 1S (AMPAKTec),0.99310932,0.994822485,0.993964275,23660
0,Smart Board,0.858583898,0.239020024,0.373852904,24021
0,Sonos One Speaker,0.582843682,0.913539614,0.711649452,5074
0,Teckin Plug,0.698218198,0.652440258,0.67455345,12847
0,Yutron Plug,0.668709916,0.888702486,0.763168654,13233
0,iRobot Roomba,0.950365317,0.975880282,0.962948991,1136
1,AeoTec Button,0.111111111,0.005555556,0.010582011,180
1,AeoTec Motion Sensor,0.21483209,0.080924855,0.117552743,173
1,AeoTec Multipurpose Sensor,0.164280822,0.40976431,0.234358838,297
1,AeoTec Water Leak Sensor,0.148351648,0.005882353,0.01131544,340
1,Philips Hue White,0.807121316,0.68021978,0.738248912,2093
1,Sengled Smart Plug,0.104376249,0.302997275,0.154454249,367
1,SmartThings Button,0.941176471,0.096385542,0.174863388,166
1,SmartThings Smart Bulb,0.669458137,0.666655052,0.66805219,2870
1,Sonoff Smart Plug,0.234826393,0.689189189,0.350291116,148
2,accuracy,0.885931095,0.885931095,0.885931095,0.885931095
2,macro avg,0.757496501,0.734677572,0.715147737,513551
2,weighted avg,0.905508543,0.885931095,0.881569831,513551
