-1,,precision,recall,f1-score,support
0,AMCREST WiFi Camera,0.998894264,0.967045835,0.982712047,5978
0,Amazon Alexa Echo Dot,0.912726595,0.971816238,0.941345026,22921
0,Amazon Alexa Echo Spot,0.419585299,0.852086472,0.56228808,15265
0,Amazon Alexa Echo Studio,0.793838375,0.866992766,0.828804409,14515
0,Amazon Plug,0.996844644,0.998563218,0.99770316,1392
0,Arlo Base Station,0.998391122,0.970266292,0.984127805,84231
0,Arlo Q Camera,0.986376655,0.993510127,0.98993053,43252
0,Atomi Coffee Maker,0.922822882,0.77706182,0.843693011,7263
0,Borun/Sichuan-AI Camera,0.985761167,0.974447566,0.980052259,26338
0,D-Link Mini Camera,0.987727441,0.979792746,0.983743421,1158
0,D-Link Water Sensor,1,0.912,0.953947368,50
0,Eufy HomeBase 2,0.726533018,0.92797447,0.814990656,8304
0,Globe Lamp ESP_B1680C,0.707148435,0.609119542,0.654483643,6985
0,Google Nest Mini,0.954883178,0.991390594,0.972794459,19711
0,Gosund Plug,0.775424537,0.912802595,0.838524055,24042
0,Gosund Socket,0.9614107,0.789970035,0.867299301,18355
0,HeimVision Smart WiFi Camera,0.999843899,0.970547891,0.984978011,12539
0,HeimVision SmartLife Radio/Lamp,0.861388008,0.608864266,0.713439975,8303
0,Home Eye Camera,0.972942643,0.891669523,0.930534852,26253
0,Luohe Cam Dog,0.72320998,0.804288868,0.761597606,3171
0,Nest Indoor Camera,0.999229118,0.999145851,0.999187483,48001
0,Netatmo Camera,0.950317646,0.991268352,0.970360309,9059
0,Netatmo Weather Station,0.886775611,0.926569038,0.906235641,1912
0,Philips Hue Bridge,0.996772972,0.991894474,0.994327706,13608
0,Ring Base Station,0.656330185,0.14857985,0.242300875,3732
0,SIMCAM 1S (AMPAKTec),0.995735647,0.994801352,0.995268279,23660
0,Smart Board,0.859164241,0.239178219,0.3741045,24021
0,Sonos One Speaker,0.583267876,0.91604257,0.712724391,5074
0,Teckin Plug,0.698259706,0.652424691,0.674564498,12847
0,Yutron Plug,0.668671962,0.888672259,0.763132792,13233
0,iRobot Roomba,0.951239073,0.97693662,0.963906445,1136
1,AeoTec Button,0,0,0,13
1,AeoTec Motion Sensor,0.056182983,0.24,0.091012684,25
1,AeoTec Multipurpose Sensor,0.505711212,0.514450867,0.510036191,173
1,AeoTec Water Leak Sensor,0.019896634,0.125,0.03432846,24
1,Philips Hue White,0.839384134,0.942225201,0.887836346,746
1,Sengled Smart Plug,0.307226107,0.098522167,0.149198247,203
1,SmartThings Button,0.056397942,0.25,0.092032147,12
1,SmartThings Smart Bulb,0.706789159,0.693909348,0.700259583,1412
1,Sonoff Smart Plug,1,0.23943662,0.386363636,142
2,accuracy,0.890150651,0.890150651,0.890150651,0.890150651
2,macro avg,0.760577626,0.739981709,0.725854247,509059
2,weighted avg,0.908912805,0.890150651,0.885481652,509059
