Type,file,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
A-A,@A211102@A211105,1.5811388300841898,1.5811388300841898,1.0060421627630057e-05,6.576735113224178e-05,0.00018659159082941415,6.576735113224178e-05,0.0001363985719020833,1.164414495688378e-05,0.0,0.03637607994944649,0.014440705148637023,0.0
A-A,@A211102@A211108,1.5811388300841898,1.5811388300841898,2.540588009610967e-05,4.3088061301171e-05,0.0008420709046502681,4.3088061301171e-05,0.00042821144838351804,2.4572868757379367e-05,0.0,0.07225058988457365,0.013024041615790476,0.0
A-A,@A211102@A211109,1.5811388300841898,1.5811388300841898,0.00012115908674345176,0.00010971473162248005,0.00039747897511633386,0.00010971473162248005,0.00019887750707265096,0.00012935456648138568,0.0,0.036765045106985854,0.014544767972256891,0.0
A-A,@A211102@A211110,1.5811388300841898,1.5811388300841898,0.00041166398412508117,0.0004963283159115714,0.0029094737416608847,0.0004963283159115714,0.0006931320831426305,0.00046866217355795415,0.0,0.03429461508784914,0.01594975185611747,0.0
A-A,@A211102@A211112,1.5811388300841898,1.5811388300841898,6.159904242813208e-05,4.9212898016132934e-05,0.00127840892908313,4.9212898016132934e-05,0.0010244676437237855,8.171517160256831e-05,0.0,0.048315912513864,0.007759968986768535,0.0
A-A,@A211102@A211115,1.5811388300841898,1.5811388300841898,5.919271098024622e-05,8.286791352185287e-05,0.0018338412980243761,8.286791352185287e-05,0.0006218722299223565,6.979540647818861e-05,0.0,0.07027134044628705,0.01530145003395477,0.0
A-A,@A211102@A211116,1.5811388300841898,1.5811388300841898,7.808992054381125e-06,1.0034194099237731e-05,0.0020213587938703033,1.0034194099237731e-05,0.0010762020089093145,8.96085731330385e-06,0.0,0.023618380736006864,0.007320388247702454,0.0
A-A,@A211102@A211117,1.5811388300841898,1.5811388300841898,0.0006383820255676821,0.0007000608600888543,0.0018973093542936346,0.0007000608600888543,0.0013788843734424,0.0006827547666785954,0.0,0.013366714825198198,0.011120920680068907,0.0
A-A,@A211102@A211118,1.5811388300841898,1.5811388300841898,2.7445464877420595e-05,1.543045005100351e-05,0.0009669384835564814,1.543045005100351e-05,0.0005429841787613649,2.953165452575031e-05,0.0,0.024512778283401624,0.01215981120436301,0.0
A-A,@A211102@A211122,1.5811388300841898,1.5811388300841898,0.00033389887712141744,0.00033232987109959444,0.0006854292887572486,0.00033232987109959444,0.0004977926107011512,0.0003587501350784381,0.0,0.025172865792923837,0.01384795319570562,0.0
A-A,@A211102@A211123,1.5811388300841898,1.5811388300841898,8.579519852819565e-06,1.1860784515684674e-05,0.0031746215873099596,1.1860784515684674e-05,0.0018037561708462587,9.21077591231738e-06,0.0,0.013517199383999694,0.012574483086922437,0.0
A-A,@A211102@A211125,1.5811388300841898,1.5811388300841898,7.734399271783149e-05,6.045905621749563e-05,0.009114372376947188,6.045905621749563e-05,0.010435759216133917,0.0002212261316561928,0.0,0.03675740270841149,0.007890139923065325,0.0
A-A,@A211102@A211206,1.5811388300841898,1.5811388300841898,0.00014072990033297666,0.0001827076079294584,0.0004963080536449248,0.0001827076079294584,0.00027906321601717026,0.00015056967065631456,0.0,0.059312981849860356,0.011876426218722178,0.0
A-A,@A211102@A211208,1.5811388300841898,1.5811388300841898,2.192615874947881e-05,0.00021501025055028485,0.00032333876568456415,0.00021501025055028485,0.0002976753410916219,2.340301641430367e-05,0.0,0.136176574801731,0.008448445968798124,0.0
A-A,@A211102@A211223,1.5811388300841898,1.5811388300841898,1.8721566962578122e-05,4.2792712097359716e-05,0.00015941344977888686,4.2792712097359716e-05,4.37271153438526e-05,1.9800048397366576e-05,0.0,0.015676325554855743,0.0068618369786036006,0.0
A-A,@A211102@A211225,1.5811388300841898,1.5811388300841898,4.8952734137361466e-05,6.805911319033056e-05,0.0012322558150803906,6.805911319033056e-05,0.0007000538052514909,4.2797206373843135e-05,0.0,0.027196278032318458,0.004005861455893075,0.0
A-A,@A211102@A211228,1.5811388300841898,1.5811388300841898,9.86637292095331e-05,9.539478566430053e-05,0.0020588630553469408,9.539478566430053e-05,0.00026376527067866406,0.00013599101395697603,0.0,0.018002709955700313,0.009050808299922596,0.0
A-I,@A211102@I211102,1.5811388300841898,1.5811388300841898,1.1610629318203566e-05,5.5361034844897096e-05,0.0002678839300328026,5.5361034844897096e-05,0.0003885450691152719,1.1779872897260841e-05,0.0,0.09550787752423201,0.008906677214612902,0.0
A-I,@A211102@I211103,1.5811388300841898,1.5811388300841898,2.1895315032862698e-05,3.3187991502613945e-05,0.00019494124548172876,3.3187991502613945e-05,6.622841763458902e-05,2.315056603436158e-05,0.0,0.018333376979629147,0.008829459377821468,0.0
A-I,@A211102@I211104,1.5811388300841898,1.5811388300841898,3.182826002480496e-05,4.406352503099895e-05,0.0002997029808235625,4.406352503099895e-05,0.00010561054465450043,3.3480178901643884e-05,0.0,0.05635234644358308,0.0035522986495583075,0.0
A-I,@A211102@I211108,1.5811388300841898,1.5811388300841898,1.0358647402299779e-05,2.9180496251086226e-05,0.000866396893584561,2.9180496251086226e-05,0.002771088313443391,1.0634969943556454e-05,0.0,0.058291114380684565,0.012992606269330983,0.0
A-I,@A211102@I211110,1.5811388300841898,1.5811388300841898,0.00029413511486205135,0.0002648283157480342,0.0006865437305355816,0.0002648283157480342,0.0005079716932300903,0.0003127395944715476,0.0,0.0650589229707315,0.011706935141388871,0.0
A-I,@A211102@I211112,1.5811388300841898,1.5811388300841898,9.834352653145056e-05,9.682067312849249e-05,0.0005398320092960105,9.682067312849249e-05,0.002804200333702146,0.00014177794109209666,0.0,0.14356445506471524,0.031163798003911426,0.0
A-I,@A211102@I211115,1.5811388300841898,1.5811388300841898,1.423519946409891e-05,1.4242593224442722e-05,3.369853149649899e-05,1.4242593224442722e-05,2.7322388126791676e-05,1.5148310649112702e-05,0.0,0.039433933140652584,0.022742619262534004,0.0
A-I,@A211102@I211118,1.5811388300841898,1.5811388300841898,3.287516588827531e-05,3.9825089688567004e-05,0.0007613439276024639,3.9825089688567004e-05,0.00046784546397008446,3.521087403962676e-05,0.0,0.06684650439319244,0.025020724413244752,0.0
A-I,@A211102@I211119,1.5811388300841898,1.5811388300841898,3.470724468061839e-05,5.143273491480285e-05,0.001030984580529973,5.143273491480285e-05,0.0004706447239219453,3.635369131732951e-05,0.0,0.06324677554132775,0.0155133832375933,0.0
A-I,@A211102@I211122,1.5811388300841898,1.5811388300841898,3.5339762289769855e-05,5.4118901596243206e-05,0.00035069715912227256,5.4118901596243206e-05,8.665610434411987e-05,3.73176274564826e-05,0.0,0.10281662572735785,0.020418472609718952,0.0
A-A,@A211105@A211102,1.5811388300841898,1.5811388300841898,7.98109005085679e-05,0.00017802714689105732,0.003645681450231845,0.00017802714689105732,0.002382031223876864,9.500099339931274e-05,0.0,0.06860519798329524,0.009844149537007301,0.0
