-1,,precision,recall,f1-score,support
0,AMCREST WiFi Camera,0.996299539,0.99983272,0.998062994,5978
0,Amazon Alexa Echo Dot,0.969084474,0.999956372,0.984264817,22921
0,Amazon Alexa Echo Spot,0.48330442,0.998722568,0.651386258,15265
0,Amazon Alexa Echo Studio,0.938708081,0.999931106,0.968350929,14515
0,Amazon Plug,1,0.999281609,0.999640676,1392
0,Arlo Base Station,0.999989315,1,0.999994658,84231
0,Arlo Q Camera,0.999946826,1,0.999973412,43252
0,Atomi Coffee Maker,1,0.996599201,0.998296471,7263
0,Borun/Sichuan-AI Camera,0.995686326,1,0.997828271,26338
0,D-Link Mini Camera,0.992969025,1,0.996472008,1158
0,D-Link Water Sensor,1,1,1,50
0,Eufy HomeBase 2,0.995114597,1,0.99755035,8304
0,Globe Lamp ESP_B1680C,1,0.796578382,0.886768443,6985
0,Google Nest Mini,0.982404819,0.999898534,0.991074417,19711
0,Gosund Plug,0.933611324,0.999916812,0.96562693,24042
0,Gosund Socket,1,0.984276764,0.99207599,18355
0,HeimVision Smart WiFi Camera,0.999450122,1,0.99972496,12539
0,HeimVision SmartLife Radio/Lamp,1,0.922184752,0.959514935,8303
0,Home Eye Camera,0.999885718,0.999801927,0.99984382,26253
0,Luohe Cam Dog,0.996844903,0.995584989,0.996213932,3171
0,Nest Indoor Camera,0.999687357,0.99920835,0.999447796,48001
0,Netatmo Camera,0.989329643,0.999889613,0.994578721,9059
0,Netatmo Weather Station,0.998955068,1,0.999477261,1912
0,Philips Hue Bridge,0.999845703,0.957231289,0.978074542,14216
0,Ring Base Station,0.992804306,0.111120043,0.199836405,3732
0,SIMCAM 1S (AMPAKTec),0.99688265,1,0.998437705,23660
0,Smart Board,0.838482604,0.238974231,0.371773917,24021
0,Sonos One Speaker,0.704252348,0.999802917,0.82639433,5074
0,Teckin Plug,0.955747498,0.917755118,0.936362059,12847
0,Yutron Plug,0.918109194,1,0.957305138,13233
0,iRobot Roomba,0.975945017,1,0.987826087,1136
1,AeoTec Button,0.111111111,0.005555556,0.010582011,180
1,AeoTec Motion Sensor,0.215811567,0.080924855,0.117700422,173
1,AeoTec Multipurpose Sensor,0.169869266,0.404377104,0.238986314,297
1,AeoTec Water Leak Sensor,0.148351648,0.005882353,0.01131544,340
1,Philips Hue White,0.805373525,0.680172002,0.737488895,2093
1,Sengled Smart Plug,0.108943499,0.302997275,0.159184783,367
1,SmartThings Button,0.941176471,0.096385542,0.174863388,166
1,SmartThings Smart Bulb,0.674144263,0.669094077,0.671607194,2870
1,Sonoff Smart Plug,0.237473027,0.689189189,0.353220896,148
2,accuracy,0.944205541,0.944205541,0.944205541,0.944205541
2,macro avg,0.826639881,0.796278131,0.777678189,513551
2,weighted avg,0.958063602,0.944205541,0.93720357,513551
