,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,5440,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,22656,306,315,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,170,0,0,0,0,0,0,0
2,13,425,14450,3612,0,59,54,0,5,2,48,0,334,0,0,4,0,11,5,1,27,0,442,63,1,48,117,0,1,665
3,0,596,1482,12934,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,22,0,1,1,0,0,0
4,0,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,149,1650,9,0,2488,2,0,0,0,6,0,1,0,0,0,0,0,0,0,3271,0,0,0,0,0,934,0,0,0
6,0,99,101,25,0,22,930,0,0,0,0,0,3402,0,0,0,0,0,0,0,112,0,0,18794,0,0,13,0,0,0
7,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,348,0,0,0,0,21,0,0,0,0,0,403,6039,0
8,0,0,0,0,0,0,0,0,23996,0,0,0,14,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,1,0,0,11,23,0,0,0,7491,0,17,0,0,0,0,302,444,0,0,0,0,4,0,0,156,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,27,0,6553,116,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
12,0,17,32,0,0,0,0,0,20,0,0,0,13455,0,0,0,0,18,0,0,0,0,0,0,0,1,8,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,95,0,26262,464,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,63,0,19679,355,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,5532,0,0,0,0,4303,0,0,0,0,3688,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,6956,0,0,0,0,44,0,0,0,0,0,436,355,0
17,0,0,0,0,0,0,0,0,16,0,2019,0,1,0,0,0,0,17314,210,0,0,0,0,0,0,0,28,0,0,0
18,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,65,2278,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24724,0,0,0,0,0,0,0,0,0,0
20,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,0,0,5377,277,1,0,0,0,2,0,0,0
21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,279,1444,0,0,0,0,0,57,20,0
22,0,1,15,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7052,0,0,1,0,0,0,0
23,0,6,0,0,0,0,0,0,0,0,0,0,3110,0,0,0,0,1,0,0,0,0,0,96,0,0,8,0,0,11
24,0,0,0,0,0,0,19,0,99,0,8,0,105,0,0,0,0,0,0,0,0,0,0,0,20792,0,164,0,0,0
25,2,7,221,136,0,2,0,0,0,0,0,0,7,0,0,5,0,1,0,0,0,0,3,10,8,202,7,0,0,0
26,0,2242,7483,1818,0,1234,11,0,0,810,0,0,1424,0,0,0,0,31,0,0,0,0,4321,56,218,178,4798,0,0,19485
27,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,685,0,0,0,0,44,0,0,0,0,0,831,11719,0
28,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,5711,0,0,0,0,45,0,0,0,0,0,6269,643,0
29,0,10,32,18,0,0,0,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1019
