,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,5912,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5,22092,120,99,0,0,39,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,0,98,13448,1136,0,0,9,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,7,0,0,4,10,0,0,0
3,0,373,1062,11719,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,153,0,0,0,45773,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
6,0,0,2,0,0,34,47210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
7,0,0,0,0,0,0,0,6053,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,407,188,0
8,0,0,0,0,0,0,0,0,23767,0,0,0,9,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,2,0,0,0,7488,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,5892,0,751,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,17,32,0,0,0,22,0,20,0,0,0,20962,0,0,0,0,17,0,0,0,0,0,0,0,0,9,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,59,0,26689,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,58,0,8044,12151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,7101,0,0,0,0,0,0,0,0,0,0,515,204,0
17,0,0,0,0,0,0,0,0,0,0,1986,0,0,0,0,0,0,23293,627,0,0,0,0,0,0,0,66,0,0,0
18,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,4,2553,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43677,0,0,0,0,0,0,0,0,0,0
20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9131,0,21,0,0,2,12,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1731,0,0,0,0,0,37,0,0
22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12463,0,0,0,0,0,0,0
23,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,0,0,8,0,0,7
24,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,21497,6,92,0,0,0
25,0,0,76,77,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,14,0,0,0
26,0,133,80,0,0,443,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0
27,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,11685,338,0
28,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,826,11225,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046
