,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,7502,387,3,4,0,3,2,0,161,0,0,3,0,2,0,0,0,0,0,0,0,2,0,15,1,0,30,1,0,0,0
1,4,29765,119,254,0,0,7,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,15,355,16670,1865,0,0,22,0,10,5,0,0,0,6,0,0,1,0,4,11,0,0,0,11,0,0,133,17,0,0,0
3,0,711,1251,17297,0,0,14,0,5,11,0,0,0,19,0,0,0,0,1,0,0,0,0,3,0,0,32,2,0,0,0
4,0,0,0,0,2255,0,0,0,4,0,4,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0
5,0,3916,0,0,0,2948,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,0,23,0,0,0
6,0,3745,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,16,0,0,0
7,0,0,0,0,0,0,0,8089,0,0,0,0,0,0,0,0,0,299,0,0,0,0,31,0,0,0,0,0,692,404,0
8,0,0,0,0,0,0,0,0,34481,0,0,0,0,15,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,1,0,0,0,1,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11,0,0,0,0,0,0,2,0,0,0,0,9359,0,0,0,0,0,0,804,732,0,0,0,0,0,0,46,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,57,0,8982,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,135,118,29,0,0,311,0,45,12,0,10,0,20277,0,0,0,0,25,8,0,18,0,19,39,7,43,13,0,0,1
14,0,0,0,0,0,0,0,0,0,0,1,0,197,0,28081,8736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,193,0,19078,8481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,2699,0,0,0,0,0,0,13491,0,0,0,0,2524,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,59,0,0,0,0,0,928,8418,0
18,0,0,0,0,0,0,0,0,23,0,0,2457,0,0,0,0,0,0,20244,607,0,0,0,0,0,0,0,2,0,0,0
19,0,0,0,0,0,0,0,0,3,0,0,921,0,0,0,0,0,0,67,3153,0,3,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,22977,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4768,388,38,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,455,1870,0,0,0,0,0,17,10,0
23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17246,0,0,0,0,0,0,0
24,0,29,2829,87,0,0,64,0,403,0,0,0,0,28,0,0,972,0,7,0,0,0,0,2,182,9,56,7,0,0,10
25,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,28523,1,44,0,0,0
26,0,2,104,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,261,0,0,0,0
27,0,182,114,0,0,802,147,0,0,0,0,0,0,1,0,0,0,0,0,6,0,40,0,1,0,0,701,4857,0,0,0
28,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,585,0,0,0,0,59,0,0,0,0,0,1414,14482,0
29,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,569,0,0,0,0,59,0,0,0,0,0,8662,7764,0
30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429
