,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,7533,4,2,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,31802,117,488,0,0,1,0,3,0,0,0,86,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0
2,2,357,14818,2578,0,0,0,0,0,0,0,0,33,0,0,1,0,6,11,10,0,0,0,3,0,113,0,0,1
3,0,838,1082,16519,0,0,0,0,2,0,0,0,67,0,0,0,0,1,0,0,0,0,2,3,0,2,0,0,0
4,0,0,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,139,0,0,0,2962,1,0,0,0,0,0,3741,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
6,0,0,1,0,0,1,20,0,0,0,2,0,3790,0,0,0,0,0,0,0,1,0,0,5,0,18,0,0,0
7,0,0,0,0,0,0,0,8029,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,575,436,0
8,0,0,0,0,0,0,0,0,32325,0,0,0,20,0,0,1,0,794,0,0,0,0,0,0,0,2,0,0,0
9,0,0,0,0,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,9906,0,0,0,0,0,0,462,651,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,7953,0,1098,167,0,0,0,0,0,0,30,0,0,0,0,0,0,0
12,0,61,52,17,0,0,1,0,39,0,6,0,19944,0,0,0,0,23,0,0,3,0,3,2,2,17,0,0,13
13,0,0,0,0,0,0,0,0,0,0,4,165,0,36064,704,0,0,0,0,0,0,122,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,3,119,0,3304,24260,0,0,0,0,0,0,90,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,18858,0,0,0,0,0,0,4,0,0,3,0,0,0
16,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,9617,0,0,0,0,0,0,0,0,0,534,550,0
17,0,0,0,0,0,1,0,0,0,0,2805,0,0,0,0,0,0,25507,504,0,0,0,0,0,0,2,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1113,0,24,0,0,0,0,36,2988,0,0,0,0,0,0,0,0,0,0
19,0,0,486,0,0,0,0,0,0,0,0,0,1217,0,0,0,0,0,0,24,0,0,3749,0,0,0,0,0,35366
20,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,5248,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,13,0,0,0,0,0,1,2,0,323,0,0,0,0,1508,0,0,0,0,513,226,0
22,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186,0,0,0,0,0,0
23,0,1315,24,12,0,0,3004,0,0,0,1,0,58,0,0,1,0,0,0,0,0,0,0,310,0,14,0,0,10
24,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,28585,44,0,0,0
25,73,103,84,94,0,341,4,0,11,0,43,0,1187,0,0,14,0,0,0,0,22,0,5805,12,14,4766,0,0,9280
26,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,936,0,0,0,0,4,0,0,0,0,14639,835,0
27,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,1088,15051,0
28,0,9,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1490
