,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,7544,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,9553,4296,71,176,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0
2,0,9228,4210,108,236,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
3,0,288,93,15157,2173,0,0,0,0,0,0,1,1,0,170,0,0,0,0,0,0,0,1,0,4,6,3,0,0,14,402,0,373,140,0,0,0,0,0
4,0,220,249,1154,16025,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,4,0,0,0,0,0
5,0,0,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,138,0,0,0,0,2965,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,3559,0,1,0,0,0,534,0,0,0,0,0
7,0,0,1,0,1,0,969,21,0,0,0,0,2,0,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,23,0,0,0,0,0
8,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,4749,0,0,0,0,0,0,775,0,0,0,0,3195,0,0,0,0,0,151,154,72,86,0
9,0,0,0,0,0,0,0,0,0,35463,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,1,0,0,2,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,2,0,0,1,0,1461,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,2,1,0,0,0,0,2,0,0,10765,0,1,0,0,0,0,0,0,0,2,0,0,624,0,21,2,0,0,1,0,7,0,0,0,0,0
13,0,0,0,0,0,4747,0,0,0,0,0,0,0,162,0,483,123,142,215,57,63,52,0,3165,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
14,0,290,13,42,0,0,0,1,0,75,0,0,7,0,19187,0,0,0,0,0,0,0,2,0,21,3,0,0,0,0,25,8287,0,34,0,0,0,0,0
