,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,5477,13,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,19882,255,396,0,0,0,0,0,3,0,0,26,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,1
2,0,367,12564,2098,0,0,11,0,0,3,0,0,1,0,0,0,0,8,209,0,0,0,0,7,0,0,217,80,0,0,0
3,0,554,2747,9864,0,0,6,0,1,0,0,0,13,0,0,0,0,1,1219,0,0,0,0,3,0,0,9,20,0,0,0
4,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,171,13,0,0,168062,152277,0,0,61,584,0,678,0,0,0,0,0,7036,1,0,3253,0,0,100426,0,0,5457,0,0,15
6,0,0,11,0,0,45,38508,0,0,0,0,0,11,0,0,0,0,0,3018,0,0,0,0,0,1,0,0,13,0,0,0
7,0,0,0,0,0,0,0,5877,0,0,0,0,0,0,0,0,235,0,0,0,0,0,21,0,0,0,0,0,547,246,0
8,0,0,0,0,0,4,0,0,26976,0,0,0,118,0,0,0,0,624,2,0,0,0,0,0,0,0,0,5,0,0,0
9,0,0,0,1,0,0,1,0,0,1081,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1
10,3,33,3,0,0,0,46,0,14,0,5483,0,2,2,0,0,0,235,197,387,0,22,6,6,0,7,29,48,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,45,0,6635,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,16,30,0,0,0,9,0,8,0,0,0,14784,0,0,1,0,17,75,0,0,0,0,0,1,0,0,27,0,0,0
13,0,0,0,0,0,0,0,0,4,0,0,3582,0,6893,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,72,3,0,0,1818,0,8778,195,0,444,0,0,0,0,0,0,0,0,0,0,0,139,182,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,986,0,0,0,0,0,44,0,0,0,0,0,710,6077,0
17,0,418,3,0,0,0,0,0,14,0,1890,0,1,0,0,0,0,26169,10,524,0,6,0,0,0,0,118,3,0,0,0
18,1,153,238,118,0,35,4,0,3,10,1,0,17,0,0,0,0,1,1804074,0,0,60,0,2,0,1,8,115,0,0,11
19,0,0,27,0,0,0,0,0,1,0,521,0,0,0,0,0,0,123,0,2343,0,0,0,0,0,0,0,0,0,0,0
20,0,0,12,0,0,0,0,0,0,25967,0,0,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0
21,0,7,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,34,0,0,9485,237,0,0,1,0,111,0,0,2
22,0,0,0,0,0,0,0,1,0,0,25,0,0,1,0,0,8,0,0,0,0,205,1571,0,0,0,0,0,5,3,0
23,5,61,92,0,0,0,0,0,16,0,36,0,7,6,0,0,0,2614,111,0,0,476,27,10675,0,1,39,8,0,0,2
24,0,1318,8,3,0,0,276,0,4,0,0,0,48,0,0,0,0,14,758,0,0,6,0,0,1268,12,22,3,0,0,65
25,0,86,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,0,0,0,0,21480,0,1,0,0,0
26,1,0,100,35,0,0,0,0,5,3,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,4,221,0,0,0,0
27,0,208,83,8,0,22,45,0,0,0,7,0,2,0,0,0,0,0,1599,0,0,65,0,0,35,26,16,9462,0,0,34
28,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,720,0,0,0,0,0,52,0,0,0,0,0,11441,540,0
29,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,712,0,0,0,0,0,52,0,0,0,0,0,7596,4891,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053
