,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,7373,1,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,28524,132,320,0,0,1,0,0,0,0,0,0,86,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0
2,0,343,16869,1510,0,0,0,0,0,1,0,8,0,10,0,0,2,0,6,11,0,0,0,12,17,0,92,20,0,0,0
3,0,508,2369,16251,0,0,0,0,2,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,5,0,11,1,0,0,0
4,0,0,0,0,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,142,0,0,0,2966,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,2773,0,0,13,0,0,0
6,0,543,1,0,0,1,24,0,0,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0
7,0,0,0,0,0,0,0,8053,0,0,0,0,0,0,0,0,0,387,0,0,0,0,28,0,0,0,0,0,728,331,0
8,0,0,0,0,0,0,0,0,34564,0,0,0,0,13,0,0,1,0,855,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,3,3,0,3,1,0,0,1461,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,2,0,63,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
11,0,0,0,1,0,5,16,0,1,1,0,9861,0,2,1,0,0,0,583,657,0,4,144,1,0,1,11,11,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9032,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,58,48,33,0,0,1,0,42,11,0,4,0,19787,0,0,1,0,23,0,0,14,2,2,39,2,11,17,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,124,0,28222,8666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,79,0,19190,8473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13890,0,0,0,0,5219,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,1494,0,0,0,0,60,0,0,0,0,0,8838,351,0
18,0,0,0,0,0,0,0,0,22,0,0,2607,0,0,0,0,0,0,20116,451,0,0,0,197,2,0,0,2,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,48,3337,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14620,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4787,373,39,2,0,0,0,1,0,0
22,0,0,0,0,1,0,0,11,0,0,0,0,1,0,113,0,0,14,0,0,0,604,1505,0,0,0,0,0,251,37,0
23,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17294,0,0,1,0,0,0,0
24,0,27,53,7,0,0,9,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4545,0,2,11,0,0,13
25,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,28562,0,44,0,0,0
26,0,4,278,183,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,11,0,0,0,12,19,10,118,11,0,0,0
27,77,216,169,913,1,184,13,0,5480,9,0,14,0,536,1,0,17,1,1,0,1,14,7,20,26,24,28,4909,0,0,10413
28,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,792,0,0,0,0,58,0,0,0,0,0,15089,688,0
29,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,777,0,0,0,0,58,0,0,0,0,0,15312,717,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
