,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,7483,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0
1,0,31334,161,389,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,130,0,44,0,0,4
2,0,374,14508,2879,0,0,0,0,1,0,0,0,3,0,0,0,0,8,5,0,0,0,3,11,0,127,0,0,0
3,0,973,822,16266,0,0,0,0,1,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
4,0,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,139,0,0,0,2873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,3784,0,0,0
6,0,0,1,0,0,1,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,3801,0,0,0
7,0,0,0,0,0,0,0,8062,0,0,0,0,0,0,0,0,482,0,0,0,0,1,0,0,0,0,533,457,0
8,0,0,0,0,0,0,0,0,34130,0,0,0,13,0,0,1,0,846,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,14,0,1,0,10153,0,8,0,0,0,0,193,678,0,46,2,0,0,1,21,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,7955,0,1121,172,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,749,99,137,432,0,25,17,0,41,1,832,0,20529,0,0,165,0,21,0,0,4325,0,2,87,3,547,0,0,4281
13,0,0,0,0,0,0,0,0,0,0,0,137,0,36256,675,0,0,0,0,0,0,3,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,91,0,3424,24254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,18821,0,0,0,0,0,0,2,0,0,3,0,0,0
16,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,9573,0,0,0,0,1,0,0,0,0,483,615,0
17,0,0,2,0,0,0,0,0,17,0,3213,0,1,0,0,0,0,24925,279,0,0,0,0,0,0,3,0,0,0
18,0,5,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,127,3272,0,1,0,0,0,0,0,0,0,0
19,0,0,1219,83,0,0,0,0,236,0,0,0,0,0,0,39407,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5187,0,1,0,0,5,0,0,0
21,0,0,0,0,0,0,0,17,0,0,0,0,0,167,4,0,532,0,0,0,0,1440,0,0,0,0,227,82,0
22,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17195,0,0,2,0,0,0
23,0,25,3,9,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3054,0,1553,0,0,9
24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,28575,44,0,0,0
25,0,50,8,0,0,71,474,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,99,0,4605,0,0,0
26,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,904,0,0,0,0,8,0,0,0,0,14633,915,0
27,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,927,0,0,0,0,1,0,0,0,0,1005,15078,0
28,0,8,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486
