,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,7769,530,18,4,4,0,4,0,0,239,0,0,0,13,0,0,0,0,0,0,0,0,1,0,2,4,0,1,1,0,0,7,0,0,0,0,0
1,4,4897,2481,134,1453,0,0,2,0,2,0,1,0,23,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,313,0,0,0,0,0
2,2,4581,2631,205,1537,0,0,3,0,3,0,2,0,19,0,0,0,1,0,0,0,0,0,0,3,4,0,38,5,0,8,318,0,0,0,0,0
3,3,126,263,14970,3297,0,0,0,0,2,1,2,0,27,0,0,0,0,0,0,0,0,5,0,2,8,0,21,15,6,120,24,0,0,0,0,0
4,0,130,178,1083,17962,0,0,0,0,5,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,4,17,0,0,0,0,0
5,0,0,0,0,0,2089,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,0,0,0,10,2889,0,2836,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,851,0,0,295,0,0,0,0,0
7,0,473,1,4,5,0,6,3340,0,12,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,2,0,0,27,3,0,27,0,0,0,0,0
8,0,0,0,0,0,0,0,0,8171,2,0,0,0,0,0,0,2,0,0,0,0,789,0,0,0,0,31,0,0,0,0,0,164,103,129,115,0
9,0,0,0,0,0,0,0,0,0,34063,0,0,0,42,0,0,0,0,0,0,1,0,852,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,2,0,0,4,0,0,1,1463,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,2,36,0,0,0,0,1,0,9881,0,12,0,0,0,0,0,0,0,0,394,869,14,8,4,0,0,1,0,5,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,8215,0,211,177,254,150,97,125,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0
13,0,1,1,51,67,0,0,2,0,30,0,2,0,22243,0,0,0,0,0,0,0,0,25,1,2,1,0,6,12,3,1,131,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,1,0,0,318,0,8125,169,235,140,130,118,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,325,0,192,8057,269,160,111,111,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,316,0,200,147,8168,154,124,120,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,1,0
17,0,0,0,0,0,0,0,0,0,1,0,0,323,0,214,146,251,8067,118,124,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0,300,0,206,151,269,144,8028,130,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,1,0,0,303,0,204,158,272,174,108,8031,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,0,3,0,12642,0,2,0,0,0,0,0,0,7131,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
21,0,0,0,0,0,0,0,0,196,1,0,0,0,0,0,0,2,0,0,0,0,10200,0,0,0,0,60,0,0,0,0,0,110,77,97,85,0
22,0,0,0,0,0,0,0,0,0,1,0,2691,0,23,0,0,0,0,0,0,0,0,25533,510,0,0,0,0,0,0,0,5,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,3,0,937,0,0,0,0,0,0,0,0,0,0,34,2829,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,57,9,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7451,5,0,0,0,0,0,0,0,0,0,0,0
25,7,0,0,1,3,0,2,0,0,1,0,2,0,90,0,0,0,0,0,0,0,0,0,0,0,7544,0,3,2,0,0,34,0,0,0,0,0
26,0,0,0,0,0,1,0,0,10,1,0,0,0,2,1,0,2,3,0,45,0,217,0,0,0,16,2180,0,0,0,0,27,8,7,4,1,0
27,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,16836,0,0,2,0,0,0,0,0,0
28,0,1,0,3,6,0,0,815,0,2,0,0,0,252,0,0,0,0,0,0,0,0,5,1,2,0,0,0,3587,8,0,40,0,0,0,0,10
29,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28523,0,44,0,0,0,0,0
30,0,2,0,26,69,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,12,0,0,0,0,0
31,0,0,0,129,7,0,391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6365,0,0,0,0,0
32,0,0,0,0,0,0,0,0,240,3,0,0,0,0,0,0,4,0,1,0,0,803,0,0,0,0,31,0,0,0,0,0,7457,112,124,135,0
33,0,0,0,0,0,0,0,0,264,1,0,0,0,0,0,1,2,0,0,0,0,809,0,0,0,0,42,0,0,0,0,0,152,7313,131,127,0
34,0,0,0,0,0,0,0,0,238,1,0,0,0,0,0,0,2,0,0,0,0,798,0,0,0,0,30,0,0,0,0,0,118,131,7435,125,0
35,0,0,0,0,0,0,0,0,238,1,0,0,0,0,0,0,2,0,0,0,0,800,0,0,0,0,40,0,0,0,0,0,120,113,125,7123,0
36,0,0,6,28,27,0,0,0,0,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1429
