,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,6001,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8376,2833,79,409,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7256,3769,76,351,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,7,70,14,9671,3072,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,5,6,0,0,0,78,86,0,199,87,0,0,0,0,0
4,0,214,112,884,12099,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0
5,0,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,98,0,0,0,0,2081,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
7,0,1,2,2,0,0,3,3744,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0
8,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,23,0,0,0,0,0,4778,1240,66,79,0
9,0,0,0,5,0,0,0,0,0,24167,0,0,0,12,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10,0,2,2,11,2,0,0,0,0,0,1059,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,2,0,0,0,0,0,0,0,7053,0,0,0,0,0,0,0,0,0,0,0,267,624,0,13,0,0,0,0,32,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,139,0,112,102,75,193,168,5883,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
